ITTER107,Popolazione_ETA1_0-10,Popolazione_ETA1_11-20,Popolazione_ETA1_21-30,Popolazione_ETA1_31-40,Popolazione_ETA1_41-50,Popolazione_ETA1_51-60,Popolazione_ETA1_61-70,Popolazione_ETA1_71-80,Popolazione_ETA1_81-90,Popolazione_ETA1_91-100+,Popolazione_ETA1_Total,Popolazione_Stato civile_coniugata/o,Popolazione_Stato civile_divorziata/o,Popolazione_Stato civile_già in unione civile (per decesso del partner) ,Popolazione_Stato civile_già in unione civile (per scioglimento unione),Popolazione_Stato civile_nubile/celibe,Popolazione_Stato civile_totale,Popolazione_Stato civile_unito/a civilmente ,Popolazione_Stato civile_vedova/o,Popolazione_Sesso_femmine,Popolazione_Sesso_maschi,Popolazione_Sesso_totale
IT,5666186,5790059,6275142,7221209,9403306,9170506,7272629,5747890,3213502,599117,60359546,28557239,1757869,252,204,25589872,60359546,17143,4436967,30974780,29384766,60359546
IT108,87009,84444,84069,103200,142939,133895,102417,83338,45234,7390,873935,418762,26488,2,2,369321,873935,286,59074,445670,428265,873935
IT109,15185,15636,17549,20546,25728,26455,22087,17212,11223,2179,173800,85236,4300,1,0,70199,173800,23,14041,89011,84789,173800
IT110,37982,44232,47055,48150,61199,57407,43627,31912,15965,2482,390011,200610,4990,0,0,160965,390011,20,23426,197239,192772,390011
IT111,25856,28275,33665,42210,54077,56363,50813,36134,19555,3777,350725,163809,7853,0,4,151689,350725,28,27342,176663,174062,350725
ITC,1503221,1486263,1561085,1869202,2545407,2465205,1948951,1628041,918701,167210,16093286,7496182,602371,83,67,6760281,16093286,6721,1227581,8250573,7842713,16093286
ITC1,385678,387543,413212,483672,674259,669933,557234,465901,270855,48119,4356406,2044857,182350,11,26,1767184,4356406,1738,360240,2241327,2115079,4356406
ITC11,203368,201962,213688,255391,354421,342059,284689,243562,137816,22567,2259523,1053170,99887,10,10,926185,2259523,1090,179171,1167019,1092504,2259523
ITC12,13894,14396,15832,18268,25255,27356,23149,18620,11842,2299,170911,80376,6799,0,2,67213,170911,53,16468,88063,82848,170911
ITC13,13149,14869,15548,17078,26534,27859,24638,20843,12543,2524,175585,82176,7588,0,0,68976,175585,64,16781,91288,84297,175585
ITC14,12440,13752,14439,16076,24767,25875,21282,17831,10052,1835,158349,73027,7098,1,1,64018,158349,55,14149,81529,76820,158349
ITC15,34110,33747,35378,42781,58519,58002,45791,35600,21156,3934,369018,176555,13243,0,6,149570,369018,73,29571,189430,179588,369018
ITC16,56641,55412,60473,66959,87804,88030,72776,58369,34314,6320,587098,277206,20772,0,4,243122,587098,135,45859,297639,289459,587098
ITC17,18604,19199,20064,22972,32619,33157,28450,22584,14124,2865,214638,103335,8686,0,1,83791,214638,125,18700,109627,105011,214638
ITC18,33472,34206,37790,44147,64340,67595,56459,48492,29008,5775,421284,199012,18277,0,2,164309,421284,143,39541,216732,204552,421284
ITC2,11741,11892,11999,13860,19695,19993,15821,12517,6872,1276,125666,54444,6165,0,4,55251,125666,42,9760,64243,61423,125666
ITC20,11741,11892,11999,13860,19695,19993,15821,12517,6872,1276,125666,54444,6165,0,4,55251,125666,42,9760,64243,61423,125666
ITC3,121971,128957,139882,154717,231385,248658,202905,185820,113479,22866,1550640,719223,74691,4,2,612129,1550640,574,144017,808880,741760,1550640
ITC31,16723,17890,20323,21868,31114,34386,28276,25218,15254,2788,213840,97058,11839,0,0,85800,213840,70,19073,110765,103075,213840
ITC32,21218,23006,23927,26341,41740,44634,36139,34370,20754,3935,276064,127664,13284,3,1,108854,276064,73,26185,143663,132401,276064
ITC33,66305,70114,75854,82965,125238,134045,110774,100805,62295,12785,841180,389350,40189,1,0,332110,841180,389,79141,440856,400324,841180
ITC34,17725,17947,19778,23543,33293,35593,27716,25427,15176,3358,219556,105151,9379,0,1,85365,219556,42,19618,113596,105960,219556
ITC4,983831,957871,995992,1216953,1620068,1526621,1172991,963803,527495,94949,10060574,4677658,339165,68,35,4325717,10060574,4367,713564,5136123,4924451,10060574
ITC41,86190,83835,86226,103457,141666,135524,106722,89515,48782,8851,890768,424679,31647,2,1,369330,890768,190,64919,457038,433730,890768
ITC42,57957,56776,58696,70692,96837,92009,71766,57409,31438,5624,599204,283513,19795,3,1,253802,599204,184,41906,305320,293884,599204
ITC43,32422,32753,33622,37589,52397,51885,41927,33540,17961,3284,337380,160797,9048,4,2,143748,337380,85,23696,171013,166367,337380
ITC44,16770,17211,18515,20087,27421,28942,23040,17350,9929,1830,181095,82936,5707,0,1,77822,181095,29,14600,92227,88868,181095
ITC45,316407,301052,323207,410105,529056,485089,361860,316787,175901,30851,3250315,1460740,119166,30,8,1443210,3250315,2236,224925,1673999,1576316,3250315
ITC46,114835,115255,113817,134126,177554,171076,130028,98687,50576,8636,1114590,525237,31942,3,5,483418,1114590,356,73629,561720,552870,1114590
ITC47,128554,127237,128643,153967,204023,190465,145706,115849,60166,11344,1265954,593021,43232,6,4,542858,1265954,535,86298,641753,624201,1265954
ITC48,48296,47092,51939,63943,87583,85649,67927,54223,32824,6412,545888,251931,20862,10,5,226131,545888,154,46795,279147,266741,545888
ITC49,23106,21839,23002,28528,37845,35155,27018,20892,10960,1853,230198,109505,6502,4,0,97393,230198,63,16731,116535,113663,230198
ITC4A,32963,32581,35368,41841,55956,55058,44994,35849,20348,3997,358955,170389,10801,3,3,148730,358955,124,28905,182075,176880,358955
ITC4B,39322,37796,38888,49418,66791,61874,49586,40364,23376,4877,412292,196148,13975,1,3,169954,412292,125,32086,209626,202666,412292
ITD,1103147,1093246,1138635,1347099,1856338,1799932,1391270,1150422,641865,130873,11652827,5371956,413025,61,27,5007505,11652827,3691,856562,5965497,5687330,11652827
ITD1,60621,58311,61130,64247,80020,79448,53952,45272,23586,4591,531178,219181,17976,7,0,263353,531178,156,30505,268465,262713,531178
ITD10,60621,58311,61130,64247,80020,79448,53952,45272,23586,4591,531178,219181,17976,7,0,263353,531178,156,30505,268465,262713,531178
ITD2,55600,55649,57179,62414,81144,82550,64310,49271,26930,6051,541098,245829,18417,3,0,240598,541098,155,36096,275601,265497,541098
ITD20,55600,55649,57179,62414,81144,82550,64310,49271,26930,6051,541098,245829,18417,3,0,240598,541098,155,36096,275601,265497,541098
ITD3,462825,470419,485835,561913,784261,771735,587316,476485,255545,49520,4905854,2320966,154730,12,10,2079030,4905854,1283,349823,2506071,2399783,4905854
ITD31,92837,89901,94342,113331,148147,139483,105543,86117,47402,9394,926497,435890,33546,1,2,393735,926497,289,63034,472384,454113,926497
ITD32,83801,87927,89950,98052,138005,134796,99033,81066,41860,7928,862418,406487,26124,2,0,371601,862418,225,57979,437541,424877,862418
ITD33,16509,18144,19111,20767,30990,32430,27757,22856,11895,2491,202950,90881,7061,1,1,87193,202950,42,17771,104431,98519,202950
ITD34,87837,90077,89480,101163,142316,138208,103266,82896,43651,8912,887806,421588,26152,3,2,380314,887806,177,59570,451199,436607,887806
ITD35,74672,77625,79513,92910,136200,138486,106638,90535,47807,8952,853338,411006,27152,1,0,348059,853338,270,66850,439253,414085,853338
ITD36,88527,88280,92617,109485,151787,149458,111498,88831,48380,9045,937908,441366,27751,3,3,404283,937908,251,64251,480504,457404,937908
ITD37,18642,18465,20822,26205,36816,38874,33581,24184,14550,2798,234937,113748,6944,1,2,93845,234937,29,20368,120759,114178,234937
ITD4,103749,106117,111802,132975,189392,190580,155065,137298,72401,15841,1215220,560725,53028,20,0,497184,1215220,335,103928,624418,590802,1215220
ITD41,29967,29202,29747,36833,49805,47095,37982,31719,16495,3688,312533,148708,10991,2,0,129506,312533,48,23278,159067,153466,312533
ITD42,43817,46007,47429,57666,82137,84500,69198,60724,30629,6684,528791,244552,21105,15,0,217273,528791,151,45695,272515,256276,528791
ITD43,11679,12119,12506,14437,22119,22349,17376,15977,8900,1941,139403,64544,6486,3,0,55771,139403,27,12572,70881,68522,139403
ITD44,18286,18789,22120,24039,35331,36636,30509,28878,16377,3528,234493,102921,14446,0,0,94634,234493,109,22383,121955,112538,234493
ITD5,420352,402750,422689,525550,721521,675619,530627,442096,263403,54870,4459477,2025255,168874,19,17,1927340,4459477,1762,336210,2290942,2168535,4459477
ITD51,26266,25262,28237,32591,44514,44153,34562,29940,17846,3781,287152,135019,9681,3,2,118531,287152,82,23834,146622,140530,287152
ITD52,43447,40003,45220,56249,72809,67598,51191,43759,25741,5614,451631,208231,15917,0,0,193792,451631,163,33528,231107,220524,451631
ITD53,54833,53101,52739,64560,88480,78087,60029,47140,27373,5549,531891,244166,18840,0,0,232012,531891,192,36681,270328,261563,531891
ITD54,70575,66657,69603,83749,114393,105181,82514,66296,38545,7880,705393,318591,25776,2,2,311422,705393,223,49377,359999,345394,705393
ITD55,93968,88897,94142,123373,163480,152831,119244,102922,62186,13576,1014619,447915,39622,10,3,449695,1014619,625,76749,525392,489227,1014619
ITD56,26880,26875,28776,36049,55027,55597,47927,40151,23979,4430,345691,160560,14698,1,2,138206,345691,105,32119,179592,166099,345691
ITD57,35043,34308,34764,42781,63061,60639,47584,39814,25890,5572,389456,173090,17602,1,0,167867,389456,162,30734,200066,189390,389456
ITD58,37232,36088,36741,45738,63677,59482,47568,39886,23475,4740,394627,182019,13942,1,2,169027,394627,89,29547,202632,191995,394627
ITD59,32108,31559,32467,40460,56080,52051,40008,32188,18368,3728,339017,155664,12796,1,6,146788,339017,121,23641,175204,163813,339017
ITDA,116221,113960,118309,126661,161164,161998,118262,94543,50516,10642,1072276,465010,36393,10,0,503951,1072276,311,66601,544066,528210,1072276
ITE,1107711,1093829,1177304,1442729,1915499,1844207,1448605,1179283,675634,131208,12016009,5626266,391225,57,41,5095911,12016009,4713,897796,6211116,5804893,12016009
ITE1,329046,330341,348774,425977,586457,571417,462217,398594,230266,46552,3729641,1760061,131355,17,10,1540443,3729641,1526,296229,1928900,1800741,3729641
ITE11,15323,16072,17458,21249,29942,31340,26175,22009,12807,2503,194878,92644,7423,0,0,76773,194878,72,17966,100770,94108,194878
ITE12,32911,33994,35523,42155,61430,62054,49296,42427,23506,4580,387876,182987,16155,4,2,156408,387876,240,32080,200577,187299,387876
ITE13,26164,25917,26946,33674,46390,44854,35942,30834,18233,3519,292473,143192,10255,1,0,115675,292473,95,23255,151525,140948,292473
ITE14,90499,92000,95452,115787,158949,153489,121109,107253,63404,13407,1011349,455095,34877,9,2,444358,1011349,526,76482,526182,485167,1011349
ITE15,25779,25314,25159,32268,41770,37827,29529,24219,13208,2643,257716,121255,7949,0,1,110825,257716,97,17589,132180,125536,257716
ITE16,27953,28375,29603,35890,52869,52360,42882,39600,21176,4124,334832,160598,14582,0,2,131296,334832,111,28243,173523,161309,334832
ITE17,39042,36841,39776,50678,67285,62573,50521,43522,24295,4504,419037,202284,13101,2,3,171589,419037,188,31870,215212,203825,419037
ITE18,30007,30354,33228,40032,52955,51945,43409,35333,21060,4331,342654,168254,11189,1,0,136394,342654,69,26747,175701,166953,342654
ITE19,23747,23054,25595,30612,40774,40418,33098,28033,17907,3959,267197,128512,7327,0,0,108981,267197,73,22304,138594,128603,267197
ITE1A,17621,18420,20034,23632,34093,34557,30256,25364,14670,2982,221629,105240,8497,0,0,88144,221629,55,19693,114636,106993,221629
ITE2,78308,78855,84126,102649,134289,132837,111017,92034,56130,11770,882015,429691,25071,1,3,354153,882015,202,72894,457196,424819,882015
ITE21,60144,59434,63568,77629,99850,98450,81368,66302,40976,8661,656382,318106,17725,0,1,267552,656382,163,52835,339509,316873,656382
ITE22,18164,19421,20558,25020,34439,34387,29649,25732,15154,3109,225633,111585,7346,1,2,86601,225633,39,20059,117687,107946,225633
ITE3,137611,139059,150150,177296,233689,230272,188935,153084,95384,19791,1525271,733103,42286,4,12,627553,1525271,269,122044,784344,740927,1525271
ITE31,33150,33597,34718,41418,56603,55072,43109,35626,21115,4478,358886,170844,11118,0,5,149635,358886,65,27219,183662,175224,358886
ITE32,43086,43052,45030,54410,73648,70150,58174,47744,29619,6315,471228,223856,13327,1,4,196100,471228,123,37817,243258,227970,471228
ITE33,28635,28265,31668,37192,46815,46563,39194,31302,20317,4227,314178,152372,8247,2,2,127561,314178,21,25973,161546,152632,314178
ITE34,17555,18509,21185,23730,30895,32032,26371,21200,13110,2592,207179,100795,5294,0,1,84058,207179,37,16994,106867,100312,207179
ITE4,562746,545574,594254,736807,961064,909681,686436,535571,293854,53095,5879082,2703411,192513,35,16,2573762,5879082,2716,406629,3040676,2838406,5879082
ITE41,27380,27535,31691,38933,49583,48998,40960,31601,17244,3105,317030,152256,10247,2,5,128819,317030,81,25620,161803,155227,317030
ITE42,12466,13194,16262,17995,23218,24295,20679,15892,9488,2014,155503,74983,4079,0,0,63732,155503,29,12680,78596,76907,155503
ITE43,422148,406410,428114,544015,723782,678208,492400,393382,215007,38746,4342212,1951729,155446,28,9,1941008,4342212,2512,291480,2260973,2081239,4342212
ITE44,56725,54540,64075,73972,91709,84989,68215,50472,26114,4443,575254,280181,13751,5,2,242249,575254,73,38993,290728,284526,575254
ITE45,44027,43895,54112,61892,72772,73191,64182,44224,26001,4787,489083,244262,8990,0,0,197954,489083,21,37856,248576,240507,489083
ITF,1333099,1456272,1644576,1742783,2087062,2070231,1664488,1190817,654731,113883,13957942,6869727,221155,38,45,5888778,13957942,1207,976992,7146463,6811479,13957942
ITF1,116660,117749,136545,159380,199530,199942,166162,123988,76650,14974,1311580,641032,30863,6,13,536392,1311580,167,103107,671444,640136,1311580
ITF11,25901,25334,31381,37390,44147,46127,39887,27623,17515,3726,299031,144353,7109,3,10,123686,299031,33,23837,151163,147868,299031
ITF12,27468,27968,32870,38038,47225,47330,37695,28744,17519,3195,308052,150215,6182,3,2,127802,308052,57,23791,157249,150803,308052
ITF13,29583,30055,32685,37632,49897,48702,38342,30212,18330,3471,318909,153942,9050,0,0,132175,318909,46,23696,165319,153590,318909
ITF14,33708,34392,39609,46320,58261,57783,50238,37409,23286,4582,385588,192522,8522,0,1,152729,385588,31,31783,197713,187875,385588
ITF2,24453,27336,33944,36492,44329,46993,40186,28479,19377,4028,305617,150817,5132,0,1,123828,305617,13,25826,155037,150580,305617
ITF21,6752,7018,9366,10431,11949,12881,11448,7796,5500,1238,84379,41505,1322,0,0,34302,84379,5,7245,42549,41830,84379
ITF22,17701,20318,24578,26061,32380,34112,28738,20683,13877,2790,221238,109312,3810,0,1,89526,221238,8,18581,112488,108750,221238
ITF3,591098,650111,720998,741487,870758,853280,655269,453942,227985,36764,5801692,2827090,83061,17,15,2505555,5801692,597,385357,2973202,2828490,5801692
ITF31,97242,105905,116275,123713,141354,133750,99182,68144,32568,4832,922965,453481,10723,8,2,399473,922965,76,59202,471034,451931,922965
ITF32,23727,27095,33716,33299,40028,42443,33138,24528,15884,3160,277018,136344,3615,0,0,114576,277018,6,22477,141087,135931,277018
ITF33,330056,363681,390253,394042,464067,445769,341900,235446,104138,15538,3084890,1490408,47282,7,10,1354002,3084890,392,192789,1587601,1497289,3084890
ITF34,35959,40930,49825,51463,61764,65078,50310,35832,22816,4329,418306,208415,5413,1,2,172034,418306,18,32423,212680,205626,418306
ITF35,104114,112500,130929,138970,163545,166240,130739,89992,52579,8905,1098513,538442,16028,1,1,465470,1098513,105,78466,560800,537713,1098513
ITF4,370666,413576,457426,488553,608754,596144,491312,369540,198508,34574,4029053,2019093,66888,15,7,1668548,4029053,344,274158,2069150,1959903,4029053
ITF41,59822,68342,74562,75023,90945,90216,73038,54166,30240,5829,622183,305420,8702,0,1,266003,622183,19,42038,317013,305170,622183
ITF42,116730,126649,142094,153448,191405,188711,152131,110807,59426,10593,1251994,638320,23333,12,5,509326,1251994,141,80857,641138,610856,1251994
ITF43,52992,58574,63285,69673,87021,84049,72725,55436,28430,4571,576756,288648,9739,1,1,237713,576756,67,40587,297100,279656,576756
ITF44,34541,38416,44269,47742,58837,58657,49321,37764,19884,3544,392975,193676,6900,2,0,163920,392975,33,28444,203097,189878,392975
ITF45,68599,77363,86161,94517,119347,117104,100470,79455,44563,7555,795134,392419,13224,0,0,330621,795134,64,58806,413563,381571,795134
ITF5,46882,53961,64342,67873,82849,87079,71865,49078,33156,5784,562869,279343,8225,0,0,230591,562869,16,44694,286172,276697,562869
ITF51,29734,34397,41398,43512,53624,57623,46772,31629,22298,3973,364960,181549,4912,0,0,148684,364960,8,29807,185632,179328,364960
ITF52,17148,19564,22944,24361,29225,29456,25093,17449,10858,1811,197909,97794,3313,0,0,81907,197909,8,14887,100540,97369,197909
ITF6,183340,193539,231321,248998,280842,286793,239694,165790,99055,17759,1947131,952352,26986,0,9,823864,1947131,70,143850,991458,955673,1947131
ITF61,63483,66140,80564,90415,104097,106940,89459,61030,37127,6498,705753,348904,10029,0,2,294400,705753,22,52396,360052,345701,705753
ITF62,17923,19286,23009,23157,24578,24229,20144,13881,7717,1056,174980,82921,2036,0,2,78355,174980,0,11666,86583,88397,174980
ITF63,33124,34802,41998,45319,51336,54150,45377,30438,18383,3389,358316,176272,5675,0,1,149660,358316,21,26687,183519,174797,358316
ITF64,14851,16747,19737,19697,22591,23390,19571,13613,8365,1511,160073,78533,1721,0,4,68205,160073,7,11603,80723,79350,160073
ITF65,53959,56564,66013,70410,78240,78084,65143,46828,27463,5305,548009,265722,7525,0,0,233244,548009,20,41498,280581,267428,548009
ITG,619008,660449,753542,819396,999000,990931,819315,599327,322571,55943,6639482,3193108,130093,13,24,2837397,6639482,811,478036,3401131,3238351,6639482
ITG1,489208,521361,591662,620162,735612,727452,599531,436713,237894,40296,4999891,2450525,89652,9,18,2098783,4999891,563,360341,2567302,2432589,4999891
ITG11,38830,44770,50869,50904,63435,61847,52145,41303,22428,3961,430492,216494,6382,0,0,174726,430492,33,32857,219188,211304,430492
ITG12,128185,132622,148437,156057,183926,181136,149376,106635,56413,9801,1252588,614491,22719,2,6,529140,1252588,228,86002,646591,605997,1252588
ITG13,55353,58628,69719,75444,92498,95849,80967,58231,34007,6180,626876,300757,13762,3,3,263161,626876,56,49134,324330,302546,626876
ITG14,40213,47243,51829,51810,63035,62892,51861,39316,22848,3823,434870,218054,5298,2,1,177555,434870,28,33932,223160,211710,434870
ITG15,25022,29135,32677,31479,37264,38664,30699,23016,12529,1973,262458,130084,4253,0,0,107964,262458,12,20145,135567,126891,262458
ITG16,14336,17220,19777,19240,23316,24349,20863,14927,9231,1529,164788,80964,2577,0,2,67963,164788,2,13280,84935,79853,164788
ITG17,115997,118195,134164,141917,163344,159496,129675,89086,48061,7767,1107702,535237,20276,1,4,478371,1107702,135,73678,569300,538402,1107702
ITG18,32940,33376,38975,42543,48047,44947,35852,27004,14725,2484,320893,158425,5760,1,0,134506,320893,22,22179,161878,159015,320893
ITG19,38332,40172,45215,50768,60747,58272,48093,37195,17652,2778,399224,196019,8625,0,2,165397,399224,47,29134,202353,196871,399224
ITG2,129800,139088,161880,199234,263388,263479,219784,162614,84677,15647,1639591,742583,40441,4,6,738614,1639591,248,117695,833829,805762,1639591
ITG25,40771,42659,49058,60821,80996,78529,63149,47533,23851,4204,491571,222744,13771,0,0,221118,491571,92,33846,249249,242322,491571
ITG26,17183,18950,22004,23901,30866,33189,27629,20792,11689,2347,208550,90779,3211,0,0,98396,208550,18,16146,105770,102780,208550
ITG27,34887,36387,41865,53761,73853,70028,56029,40904,19891,3433,431038,192679,12652,4,1,197675,431038,103,27924,222171,208867,431038
ITG28,11103,12817,15288,18541,23596,25370,22164,17251,9691,1886,157707,72572,2954,0,1,69736,157707,7,12437,79976,77731,157707
